Number,Name,Form,Has
001,Bulbasaur,no,0
002,Ivysaur,no,0
003,Venusaur,no,0
004,Charmander,no,0
005,Charmeleon,no,0
006,Charizard,no,0
007,Squirtle,no,0
008,Wartortle,no,0
009,Blastoise,no,0
010,Caterpie,no,0
011,Metapod,no,0
012,Butterfree,no,0
013,Weedle,no,0
014,Kakuna,no,0
015,Beedrill,no,0
016,Pidgey,no,0
017,Pidgeotto,no,0
018,Pidgeot,no,0
019,Rattata,no,0
020,Raticate,no,0
021,Spearow,no,0
022,Fearow,no,0
023,Ekans,no,0
024,Arbok,no,0
025,Pikachu,no,0
026,Raichu,no,0
027,Sandshrew,no,0
028,Sandslash,no,0
029,Nidoran_f,no,0
030,Nidorina,no,0
031,Nidoqueen,no,0
032,Nidoran_m,no,0
033,Nidorino,no,0
034,Nidoking,no,0
035,Clefairy,no,0
036,Clefable,no,0
037,Vulpix,no,0
038,Ninetales,no,0
039,Jigglypuff,no,0
040,Wigglytuff,no,0
041,Zubat,no,0
042,Golbat,no,0
043,Oddish,no,0
044,Gloom,no,0
045,Vileplume,no,0
046,Paras,no,0
047,Parasect,no,0
048,Venonat,no,0
049,Venomoth,no,0
050,Diglett,no,0
051,Dugtrio,no,0
052,Meowth,no,0
053,Persian,no,0
054,Psyduck,no,0
055,Golduck,no,0
056,Mankey,no,0
057,Primeape,no,0
058,Growlithe,no,0
059,Arcanine,no,0
060,Poliwag,no,0
061,Poliwhirl,no,0
062,Poliwrath,no,0
063,Abra,no,0
064,Kadabra,no,0
065,Alakazam,no,0
066,Machop,no,0
067,Machoke,no,0
068,Machamp,no,0
069,Bellsprout,no,0
070,Weepinbell,no,0
071,Victreebel,no,0
072,Tentacool,no,0
073,Tentacruel,no,0
074,Geodude,no,0
075,Graveler,no,0
076,Golem,no,0
077,Ponyta,no,0
078,Rapidash,no,0
079,Slowpoke,no,0
080,Slowbro,no,0
081,Magnemite,no,0
082,Magneton,no,0
083,Farfetchd,no,0
084,Doduo,no,0
085,Dodrio,no,0
086,Seel,no,0
087,Dewgong,no,0
088,Grimer,no,0
089,Muk,no,0
090,Shellder,no,0
091,Cloyster,no,0
092,Gastly,no,0
093,Haunter,no,0
094,Gengar,no,0
095,Onix,no,0
096,Drowzee,no,0
097,Hypno,no,0
098,Krabby,no,0
099,Kingler,no,0
100,Voltorb,no,0
101,Electrode,no,0
102,Exeggcute,no,0
103,Exeggutor,no,0
104,Cubone,no,0
105,Marowak,no,0
106,Hitmonlee,no,0
107,Hitmonchan,no,0
108,Lickitung,no,0
109,Koffing,no,0
110,Weezing,no,0
111,Rhyhorn,no,0
112,Rhydon,no,0
113,Chansey,no,0
114,Tangela,no,0
115,Kangaskhan,no,0
116,Horsea,no,0
117,Seadra,no,0
118,Goldeen,no,0
119,Seaking,no,0
120,Staryu,no,0
121,Starmie,no,0
122,Mr_Mime,no,0
123,Scyther,no,0
124,Jynx,no,0
125,Electabuzz,no,0
126,Magmar,no,0
127,Pinsir,no,0
128,Tauros,no,0
129,Magikarp,no,0
130,Gyarados,no,0
131,Lapras,no,0
132,Ditto,no,0
133,Eevee,no,0
134,Vaporeon,no,0
135,Jolteon,no,1
136,Flareon,no,0
137,Porygon,no,0
138,Omanyte,no,0
139,Omastar,no,0
140,Kabuto,no,0
141,Kabutops,no,0
142,Aerodactyl,no,0
143,Snorlax,no,0
144,Articuno,no,0
145,Zapdos,no,0
146,Moltres,no,0
147,Dratini,no,0
148,Dragonair,no,0
149,Dragonite,no,0
150,Mewtwo,no,0
151,Mew,no,0
152,Chikorita,no,0
153,Bayleef,no,0
154,Meganium,no,0
155,Cyndaquil,no,0
156,Quilava,no,0
157,Typhlosion,no,0
158,Totodile,no,0
159,Croconaw,no,0
160,Feraligatr,no,0
161,Sentret,no,0
162,Furret,no,0
163,Hoothoot,no,0
164,Noctowl,no,0
165,Ledyba,no,0
166,Ledian,no,0
167,Spinarak,no,0
168,Ariados,no,0
169,Crobat,no,0
170,Chinchou,no,0
171,Lanturn,no,0
172,Pichu,no,0
173,Cleffa,no,0
174,Igglybuff,no,0
175,Togepi,no,0
176,Togetic,no,0
177,Natu,no,0
178,Xatu,no,0
179,Mareep,no,0
180,Flaaffy,no,0
181,Ampharos,no,0
182,Bellossom,no,0
183,Marill,no,0
184,Azumarill,no,0
185,Sudowoodo,no,0
186,Politoed,no,0
187,Hoppip,no,0
188,Skiploom,no,0
189,Jumpluff,no,0
190,Aipom,no,0
191,Sunkern,no,0
192,Sunflora,no,0
193,Yanma,no,0
194,Wooper,no,0
195,Quagsire,no,0
196,Espeon,no,0
197,Umbreon,no,0
198,Murkrow,no,0
199,Slowking,no,0
200,Misdreavus,no,0
201,Unown,no,0
202,Wobbuffet,no,0
203,Girafarig,no,0
204,Pineco,no,0
205,Forretress,no,0
206,Dunsparce,no,0
207,Gligar,no,0
208,Steelix,no,0
209,Snubbull,no,0
210,Granbull,no,0
211,Qwilfish,no,0
212,Scizor,no,0
213,Shuckle,no,0
214,Heracross,no,0
215,Sneasel,no,0
216,Teddiursa,no,0
217,Ursaring,no,0
218,Slugma,no,0
219,Magcargo,no,0
220,Swinub,no,0
221,Piloswine,no,0
222,Corsola,no,0
223,Remoraid,no,0
224,Octillery,no,0
225,Delibird,no,0
226,Mantine,no,0
227,Skarmory,no,0
228,Houndour,no,0
229,Houndoom,no,0
